,lon,lat,city,state
832,-93.2922989,37.2089572,Springfield,MO
889,-93.2922989,37.2089572,Springfield,MO
1204,-93.2777226,44.7677424,Burnsville,MN
1706,-93.2777226,44.7677424,Burnsville,MN
864,-93.2650108,44.977753,Minneapolis,MN
347,-93.2632821,45.0860765,Fridley,MN
886,-93.2474098,45.0481968,Columbia Heights,MN
997,-93.2323813,30.512699,Ragley,LA
378,-93.2282613,38.7044609,Sedalia,MO
767,-93.2173758,30.2265949,Lakes Charles,LA
891,-93.2060163,37.0208865,Ozark,MO
1050,-93.1732401,34.5720347,Mountain Pine,AR
1629,-93.1668858,44.8041322,Eagan,MN
1506,-93.166333,44.9916323,Falcon Heights,MN
1100,-93.1566107,45.0060767,Roseville,MN
1331,-93.0924093,37.6439289,Buffalo,MO
27,-93.0899578,44.9537029,St. Paul,MN
196,-93.0899578,44.9537029,St. Paul,MN
732,-93.0899578,44.9537029,St. Paul,MN
1341,-93.0899578,44.9537029,St. Paul,MN
1381,-93.0899578,44.9537029,St. Paul,MN
1298,-92.8026673,35.0048102,Perryville,AR
705,-92.4451371,31.3112936,Alexandria,LA
251,-92.4343035,31.3224044,Pineville,LA
37,-92.3813621,30.7821781,Evangeline Parish,LA
18,-92.3566861,33.1073435,Strong,AR
151,-92.3340724,38.9517053,Columbia,MO
284,-92.3340724,38.9517053,Columbia,MO
1704,-92.2895948,34.7464809,Little Rock,AR
